Column1,State Code,County Code,Site Num,Address,State,County,City,Date Local,Days Since Last Obs,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
27877,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/19/2006,1,Parts per billion,14.695652,22,9,21,Parts per million,0.031958,0.039,8,33,Parts per billion,5.565217,9,17,13,Parts per million,0.352174,0.5,6,
27881,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/20/2006,1,Parts per billion,10.434783,17,4,16,Parts per million,0.036458,0.046,10,39,Parts per billion,5.043478,9,4,13,Parts per million,0.352174,0.4,4,
27885,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/21/2006,1,Parts per billion,14.136364,22,7,21,Parts per million,0.044333,0.051,11,43,Parts per billion,5.5,11,19,16,Parts per million,0.336364,0.4,0,
27889,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/22/2006,1,Parts per billion,11.130435,20,7,19,Parts per million,0.044375,0.053,8,45,Parts per billion,4.782609,8,16,11,Parts per million,0.365217,0.5,6,
27893,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/23/2006,1,Parts per billion,12.434783,24,5,23,Parts per million,0.046708,0.054,10,46,Parts per billion,4,4,0,6,Parts per million,0.391304,0.5,4,
27897,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/24/2006,1,Parts per billion,10.304348,22,19,21,Parts per million,0.047042,0.056,9,47,Parts per billion,4.130435,6,14,9,Parts per million,0.404348,0.6,19,
27901,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/25/2006,1,Parts per billion,15.652174,36,22,34,Parts per million,0.036292,0.051,10,43,Parts per billion,4.652174,7,18,10,Parts per million,0.452174,0.6,9,
27905,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/26/2006,1,Parts per billion,22.333333,44,6,42,Parts per million,0.028292,0.039,9,33,Parts per billion,5.285714,10,8,14,Parts per million,0.461905,0.8,7,
27909,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/27/2006,1,Parts per billion,25.347826,38,9,36,Parts per million,0.033458,0.056,13,47,Parts per billion,4.826087,6,8,9,Parts per million,0.582609,0.9,7,
27913,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/28/2006,1,Parts per billion,19.695652,39,6,37,Parts per million,0.028542,0.043,9,36,Parts per billion,4.73913,8,19,11,Parts per million,0.473913,0.9,5,
27917,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/29/2006,1,Parts per billion,17.565217,36,21,34,Parts per million,0.026792,0.034,9,29,Parts per billion,4.521739,6,7,9,Parts per million,0.434783,0.7,6,
27921,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/30/2006,1,Parts per billion,15.565217,28,7,26,Parts per million,0.026292,0.036,10,31,Parts per billion,4.434783,6,17,9,Parts per million,0.395652,0.6,6,
27925,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/1/2006,1,Parts per billion,12.434783,21,6,20,Parts per million,0.03325,0.043,10,36,Parts per billion,5.565217,8,22,11,Parts per million,0.347826,0.5,8,
27929,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/2/2006,1,Parts per billion,8.782609,17,4,16,Parts per million,0.028,0.034,7,29,Parts per billion,6.347826,13,15,19,Parts per million,0.304348,0.4,13,
27933,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/3/2006,1,Parts per billion,12.428571,21,21,20,Parts per million,0.023375,0.03,11,25,Parts per billion,4.681818,8,20,11,Parts per million,0.3,0.4,15,
27937,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/4/2006,1,Parts per billion,10.26087,15,0,14,Parts per million,0.028667,0.036,9,31,Parts per billion,3.869565,5,0,7,Parts per million,0.291304,0.4,11,
27941,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/5/2006,1,Parts per billion,12.227273,22,22,21,Parts per million,0.028167,0.035,9,30,Parts per billion,3.454545,4,4,6,Parts per million,0.318182,0.5,7,
27945,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/6/2006,1,Parts per billion,11.304348,22,7,21,Parts per million,0.027458,0.034,9,29,Parts per billion,3.782609,5,7,7,Parts per million,0.321739,0.5,6,
27949,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/7/2006,1,Parts per billion,13.73913,25,6,24,Parts per million,0.025958,0.04,8,34,Parts per billion,3.73913,4,0,6,Parts per million,0.356522,0.5,5,
27953,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/8/2006,1,Parts per billion,9.782609,21,4,20,Parts per million,0.030417,0.042,9,36,Parts per billion,3.913043,4,0,6,Parts per million,0.330435,0.6,4,
27957,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/9/2006,1,Parts per billion,9.695652,20,21,19,Parts per million,0.0345,0.043,8,36,Parts per billion,4.043478,5,2,7,Parts per million,0.3,0.4,5,
27961,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/10/2006,1,Parts per billion,14.26087,26,7,25,Parts per million,0.027542,0.037,10,31,Parts per billion,4.761905,8,8,11,Parts per million,0.290476,0.4,5,
27965,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/11/2006,1,Parts per billion,15.434783,32,8,30,Parts per million,0.023583,0.037,10,31,Parts per billion,5.217391,13,8,19,Parts per million,0.347826,0.6,7,
27969,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/12/2006,1,Parts per billion,18.818182,47,21,44,Parts per million,0.026375,0.042,10,36,Parts per billion,4.318182,5,4,7,Parts per million,0.395455,0.6,6,
27973,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/13/2006,1,Parts per billion,15.347826,31,7,29,Parts per million,0.023,0.036,9,31,Parts per billion,4.173913,5,6,7,Parts per million,0.33913,0.6,7,
27977,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/14/2006,1,Parts per billion,14.913043,26,7,25,Parts per million,0.024417,0.035,11,30,Parts per billion,4.304348,5,0,7,Parts per million,0.404348,0.8,6,
27981,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/15/2006,1,Parts per billion,10.695652,26,5,25,Parts per million,0.029917,0.04,8,34,Parts per billion,4,4,0,6,Parts per million,0.313043,0.5,5,
27985,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/16/2006,1,Parts per billion,6.826087,12,21,11,Parts per million,0.027875,0.031,9,26,Parts per billion,4.434783,5,4,7,Parts per million,0.226087,0.3,9,
27989,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/17/2006,1,Parts per billion,10.045455,19,8,18,Parts per million,0.019167,0.022,9,19,Parts per billion,4.636364,6,1,9,Parts per million,0.240909,0.3,4,
27993,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/18/2006,1,Parts per billion,13.391304,26,7,25,Parts per million,0.024458,0.03,10,25,Parts per billion,5.26087,8,2,11,Parts per million,0.243478,0.3,4,
27997,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/19/2006,1,Parts per billion,10.043478,20,9,19,Parts per million,0.025667,0.029,7,25,Parts per billion,6.478261,12,9,17,Parts per million,0.26087,0.4,9,
28001,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/20/2006,1,Parts per billion,9.782609,17,6,16,Parts per million,0.021167,0.028,9,24,Parts per billion,4.73913,8,8,11,Parts per million,0.282609,0.4,5,
28005,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/21/2006,1,Parts per billion,12.521739,21,19,20,Parts per million,0.02075,0.03,10,25,Parts per billion,4.521739,5,4,7,Parts per million,0.334783,0.5,7,
28009,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/22/2006,1,Parts per billion,14.478261,23,8,22,Parts per million,0.027208,0.039,9,33,Parts per billion,4.565217,6,13,9,Parts per million,0.386957,0.6,8,
28013,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/23/2006,1,Parts per billion,9.26087,17,22,16,Parts per million,0.019542,0.025,7,21,Parts per billion,4.478261,6,15,9,Parts per million,0.269565,0.4,6,
28017,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,7/24/2006,1,Parts per billion,16.73913,31,15,29,Parts per million,0.020917,0.029,14,25,Parts per billion,4.304348,5,0,7,Parts per million,0.365217,0.6,10,
